Merk,Model,Tahun,Baterai_kWh,Range_km,Daya_hp,Harga_Juta
BYD,Atto 3,2026,60.5,480,201,515
BYD,Dolphin,2026,44.9,410,94,425
BYD,Seal,2026,82.5,650,523,750
Wuling,Air EV,2026,26.7,300,41,190
Wuling,Binguo EV,2026,31.0,333,67,258
Hyundai,Ioniq 5,2026,77.4,550,217,785
Hyundai,Ioniq 6,2026,77.4,610,321,1090
Hyundai,Kona Electric,2025,64.0,484,204,675
Chery,Omoda 5 EV,2026,61.0,450,201,485
Chery,eQ1,2025,30.6,301,57,240
MG,4 EV,2026,61.0,425,174,475
MG,ZS EV,2025,50.3,385,143,455
Neta,V,2026,51.0,401,161,379
Neta,U,2025,38.5,320,95,299
Tesla,Model 3,2026,78.0,629,283,1290
Tesla,Model Y,2026,78.0,533,456,1690
BMW,i4,2026,83.9,590,335,1450
BMW,iX,2025,76.6,425,326,1599
Mercedes,EQA,2026,70.5,495,188,1100
Mercedes,EQB,2026,73.5,485,228,1250
Kia,EV5,2026,82.0,540,215,689
Kia,EV6,2025,77.4,528,325,1200
DFSK,Gelora E,2025,40.0,300,82,350
DFSK,Seres E1,2026,42.0,310,81,285
Toyota,bZ4X,2026,71.4,500,201,1150
Toyota,C+pod,2025,9.1,150,12,230
Honda,e:N1,2026,68.8,500,201,850
Honda,e:NP1,2026,68.8,500,201,850
Mitsubishi,eK X EV,2025,35.0,280,64,350
Mitsubishi,Minicab EV,2026,16.0,130,41,250
